epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,4840.17,0.72894,0.44588,0.00955,0.95492,0.89248,0.94528,0.81746,0.64107,0.42404,0.01221,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4939.47,0.71916,0.4367,0.00937,0.945,0.898,0.95332,0.83451,0.59488,0.43783,0.01127,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5038.09,0.71753,0.43335,0.00949,0.95932,0.88901,0.94954,0.81581,0.64196,0.43953,0.01219,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5137.76,0.71856,0.43722,0.00962,0.9478,0.88914,0.94347,0.82014,0.63953,0.44727,0.0122,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5236.7,0.71712,0.43299,0.00929,0.95161,0.91574,0.95544,0.83932,0.60338,0.40821,0.01136,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5335.51,0.70788,0.42083,0.00922,0.95692,0.88655,0.95225,0.82999,0.62144,0.42727,0.01185,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5434.74,0.7016,0.41925,0.00906,0.96186,0.89459,0.95929,0.83577,0.62137,0.4041,0.01164,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5533.13,0.69221,0.41216,0.009,0.94272,0.89357,0.95188,0.83286,0.60476,0.41598,0.01137,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5631.8,0.68798,0.40837,0.00917,0.95243,0.89579,0.95034,0.83535,0.61271,0.40527,0.01162,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5730.44,0.67851,0.39406,0.00886,0.95263,0.90687,0.95027,0.83483,0.62507,0.41617,0.01223,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5829.72,0.68147,0.39628,0.00889,0.97003,0.89357,0.95645,0.83421,0.61666,0.41107,0.01179,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5928.02,0.67569,0.38807,0.00874,0.95141,0.91182,0.95863,0.8406,0.60856,0.39444,0.01146,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6026.68,0.67271,0.39012,0.00865,0.96758,0.88914,0.95528,0.84914,0.59521,0.38419,0.011,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6125.47,0.66438,0.39384,0.00872,0.96374,0.88389,0.95473,0.84473,0.58753,0.40798,0.011,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6224.1,0.66844,0.39606,0.00873,0.94871,0.90244,0.95118,0.84044,0.59282,0.40723,0.01121,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6322.52,0.66043,0.38516,0.00849,0.95678,0.88692,0.95309,0.83675,0.59599,0.42409,0.01122,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6421.46,0.65005,0.37555,0.00839,0.95243,0.88692,0.95076,0.83423,0.60948,0.44182,0.01168,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6520.77,0.64734,0.37563,0.0084,0.93916,0.92461,0.95468,0.83897,0.60561,0.40288,0.01146,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6619.53,0.64106,0.37127,0.00828,0.96058,0.89579,0.95233,0.84401,0.591,0.3978,0.01106,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6718.69,0.64165,0.36847,0.00838,0.97082,0.90687,0.95388,0.84316,0.58216,0.40449,0.01086,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6817.47,0.636,0.36526,0.00816,0.96964,0.90022,0.95681,0.8433,0.59019,0.40898,0.01112,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6915.88,0.62527,0.35559,0.00798,0.9469,0.90936,0.9567,0.84364,0.5871,0.42311,0.01106,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7015.03,0.62572,0.35721,0.0081,0.96003,0.90543,0.95666,0.8409,0.5911,0.41583,0.01106,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7113.21,0.61331,0.35803,0.00788,0.95738,0.90909,0.95674,0.84245,0.59763,0.40425,0.0113,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7211.99,0.60943,0.34655,0.00777,0.95839,0.90466,0.95631,0.8416,0.59466,0.41242,0.01123,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7309.89,0.61386,0.35462,0.00783,0.97128,0.89984,0.95992,0.84165,0.59357,0.40496,0.01129,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7409.09,0.60639,0.34169,0.00786,0.95137,0.91089,0.95997,0.84627,0.58502,0.40618,0.01097,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7507.69,0.60224,0.34538,0.00763,0.94737,0.91802,0.96173,0.84584,0.59457,0.40743,0.0112,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7606.52,0.59191,0.3337,0.00765,0.97837,0.90278,0.96298,0.84709,0.60619,0.4037,0.01153,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7705.62,0.59116,0.33192,0.00759,0.95165,0.91647,0.9582,0.84038,0.61047,0.41262,0.01151,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7804.44,0.58899,0.33457,0.00749,0.94966,0.91574,0.95679,0.83643,0.61877,0.41749,0.01168,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7909.03,0.58417,0.32818,0.00751,0.94443,0.91796,0.95809,0.83729,0.61681,0.41303,0.01175,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8011.7,0.5778,0.32965,0.0075,0.96036,0.91328,0.96068,0.8424,0.61324,0.40754,0.01152,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8114.62,0.57871,0.33291,0.00736,0.94969,0.92091,0.95768,0.84008,0.60372,0.4201,0.01135,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8214.44,0.56954,0.32205,0.00733,0.95711,0.91353,0.95827,0.84357,0.60515,0.41259,0.01142,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8312.34,0.57121,0.32651,0.00732,0.96867,0.91574,0.95916,0.84626,0.60142,0.40681,0.0113,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8410.69,0.5613,0.31587,0.00716,0.96911,0.91353,0.95809,0.84394,0.59865,0.42343,0.01117,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8508.69,0.55505,0.30908,0.00706,0.96716,0.91433,0.96213,0.84658,0.60258,0.41699,0.0113,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8606.96,0.54904,0.3082,0.007,0.9737,0.91574,0.96125,0.84508,0.60259,0.41546,0.01132,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8704.74,0.54937,0.31497,0.00699,0.97197,0.92018,0.96231,0.84492,0.60306,0.40461,0.01123,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8802.86,0.54245,0.30608,0.00688,0.97362,0.91574,0.96256,0.84577,0.59779,0.41068,0.0111,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8901.35,0.54075,0.30673,0.00678,0.96956,0.91823,0.96066,0.84255,0.60444,0.39749,0.01123,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8999.58,0.53632,0.31054,0.00681,0.96694,0.91574,0.95947,0.84453,0.60168,0.4062,0.01121,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9097.98,0.53225,0.30176,0.00672,0.97153,0.90788,0.95878,0.84384,0.59816,0.41036,0.01114,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9196.99,0.45016,0.19615,0.00691,0.97153,0.90811,0.95873,0.84539,0.59712,0.41091,0.01116,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9294.61,0.43451,0.18613,0.00658,0.97386,0.90856,0.96047,0.84531,0.59859,0.4113,0.01116,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9392.01,0.42267,0.17959,0.00636,0.96851,0.90244,0.96044,0.84709,0.59759,0.40918,0.01116,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9489.55,0.41522,0.17764,0.00621,0.9621,0.90064,0.96053,0.84697,0.59743,0.40962,0.01109,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9586.79,0.40956,0.17026,0.00608,0.95384,0.91574,0.96109,0.84633,0.59742,0.40067,0.01106,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9684.29,0.40234,0.16848,0.00608,0.95597,0.91465,0.95865,0.8477,0.59558,0.40071,0.01099,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9782.52,0.39883,0.16769,0.00602,0.95946,0.91574,0.95929,0.84772,0.591,0.40847,0.01085,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9880.57,0.39562,0.17052,0.00584,0.95588,0.91283,0.95777,0.8466,0.5913,0.40438,0.01089,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9977.81,0.39302,0.15781,0.00588,0.96442,0.90909,0.9577,0.84925,0.59103,0.40286,0.01089,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10075.9,0.38451,0.16432,0.00565,0.95976,0.91353,0.95936,0.84803,0.59099,0.40792,0.01087,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
