epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,635.5,0.7051,0.63176,0.00745,0.72151,0.76248,0.76446,0.56094,1.02093,1.01054,0.01517,0.000231088,0.000231088,0.000231088
82,643.039,0.71358,0.66098,0.00777,0.77286,0.7128,0.76219,0.56188,1.04059,1.00667,0.01539,0.000220089,0.000220089,0.000220089
83,650.781,0.71661,0.67815,0.00777,0.78764,0.73763,0.79278,0.58411,1.02859,0.95544,0.01488,0.00020909,0.00020909,0.00020909
84,658.433,0.73287,0.68054,0.00762,0.75338,0.74045,0.77771,0.57405,1.01476,0.99277,0.01497,0.000198091,0.000198091,0.000198091
85,666.159,0.73686,0.64417,0.0077,0.76631,0.72667,0.77226,0.57195,1.02256,0.97009,0.01504,0.000187092,0.000187092,0.000187092
86,673.893,0.68481,0.64295,0.00713,0.75962,0.75026,0.77242,0.5721,1.0634,0.94723,0.01607,0.000176094,0.000176094,0.000176094
87,681.725,0.6857,0.6309,0.00763,0.74865,0.77249,0.77698,0.56975,1.03367,0.9482,0.01548,0.000165095,0.000165095,0.000165095
88,689.444,0.70831,0.62274,0.00748,0.78812,0.70041,0.78552,0.57222,1.02957,0.95544,0.01527,0.000154096,0.000154096,0.000154096
89,697.09,0.69499,0.6599,0.00738,0.749,0.72993,0.77941,0.57554,1.02979,0.96034,0.01536,0.000143097,0.000143097,0.000143097
90,704.692,0.68026,0.6184,0.0072,0.76717,0.72481,0.76941,0.56931,1.03114,0.96903,0.01539,0.000132098,0.000132098,0.000132098
91,713.962,0.54668,0.41574,0.00729,0.74267,0.71423,0.77523,0.56373,1.04356,0.97706,0.01566,0.000121099,0.000121099,0.000121099
92,721.607,0.5248,0.36082,0.00657,0.69821,0.78278,0.76854,0.56616,1.0468,1.03178,0.01542,0.0001101,0.0001101,0.0001101
93,729.307,0.51798,0.33661,0.00685,0.72791,0.72068,0.76421,0.5625,1.06256,1.02691,0.0156,9.91012e-05,9.91012e-05,9.91012e-05
94,737.108,0.55106,0.36365,0.0071,0.71662,0.75037,0.76637,0.5681,1.05372,1.00012,0.01557,8.81023e-05,8.81023e-05,8.81023e-05
95,744.806,0.51006,0.3407,0.00657,0.76037,0.70375,0.76474,0.56781,1.04007,0.9962,0.01529,7.71034e-05,7.71034e-05,7.71034e-05
96,752.395,0.5095,0.30746,0.00633,0.74758,0.71629,0.7702,0.57307,1.05895,1.0078,0.01569,6.61045e-05,6.61045e-05,6.61045e-05
97,759.93,0.5125,0.33234,0.00671,0.75042,0.71408,0.76518,0.56715,1.03814,1.02857,0.01524,5.51056e-05,5.51056e-05,5.51056e-05
98,767.674,0.50953,0.33035,0.00662,0.77806,0.70829,0.76663,0.56815,1.04774,1.0012,0.01576,4.41067e-05,4.41067e-05,4.41067e-05
99,775.291,0.50304,0.32291,0.00649,0.72412,0.72243,0.76437,0.56745,1.03318,1.03351,0.01525,3.31078e-05,3.31078e-05,3.31078e-05
100,783.002,0.50546,0.3503,0.0063,0.72038,0.73968,0.7662,0.56815,1.03637,1.03235,0.01535,2.21089e-05,2.21089e-05,2.21089e-05
