epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,6582.13,0.86397,0.56345,0.01055,0.88849,0.7957,0.86118,0.64736,0.90289,0.59436,0.01288,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6730.35,0.85661,0.54627,0.01054,0.84338,0.82603,0.86102,0.65074,0.90122,0.58742,0.01292,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6878.8,0.84397,0.53643,0.01024,0.88198,0.79566,0.86773,0.66109,0.88458,0.59767,0.01245,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7026.86,0.84676,0.54957,0.01027,0.88643,0.79039,0.87037,0.65692,0.8904,0.59849,0.01258,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7174.68,0.83831,0.53165,0.01019,0.87803,0.81179,0.87352,0.65907,0.89045,0.58972,0.01253,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7322.98,0.8361,0.52697,0.01014,0.84542,0.83226,0.87192,0.66619,0.89356,0.58128,0.01269,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7471.84,0.83329,0.52076,0.01012,0.85445,0.83442,0.87313,0.67202,0.87782,0.5765,0.01244,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7619.59,0.82885,0.51337,0.01005,0.86874,0.81714,0.87213,0.66711,0.8774,0.58964,0.01235,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7767.23,0.82297,0.51137,0.0101,0.87176,0.82032,0.8721,0.66786,0.8804,0.5719,0.01249,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7915.93,0.82109,0.51088,0.01,0.86102,0.81496,0.86686,0.66465,0.88101,0.56648,0.01251,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8064.29,0.81445,0.49777,0.0099,0.85627,0.82659,0.87329,0.67048,0.88429,0.57031,0.01245,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8212.39,0.81379,0.50424,0.00988,0.88387,0.82438,0.87539,0.67302,0.88082,0.56103,0.01234,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8360.69,0.79895,0.48619,0.0097,0.85994,0.83262,0.8774,0.66891,0.86686,0.55727,0.01208,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8508.74,0.80469,0.49141,0.0097,0.88083,0.81736,0.8797,0.671,0.88206,0.54345,0.01237,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8656.53,0.79658,0.48449,0.00955,0.88328,0.81413,0.87294,0.66822,0.87958,0.55575,0.01233,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8804.5,0.78326,0.47588,0.00949,0.87383,0.82565,0.87663,0.66747,0.88033,0.53918,0.01233,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8953.03,0.78429,0.47388,0.00941,0.85605,0.85374,0.87762,0.6694,0.88246,0.53524,0.01233,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9101.6,0.78098,0.47429,0.00936,0.8793,0.83485,0.88083,0.67149,0.8791,0.54709,0.01225,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9249.76,0.76978,0.46797,0.00929,0.88401,0.83205,0.88251,0.67464,0.87934,0.54534,0.01218,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9397.44,0.77236,0.46659,0.00933,0.88841,0.82782,0.8812,0.67455,0.87477,0.55063,0.01211,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9545.98,0.7633,0.45945,0.00913,0.89113,0.82755,0.87875,0.67528,0.8722,0.55188,0.0121,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9694.22,0.76204,0.45466,0.0091,0.89339,0.82931,0.88281,0.67818,0.87176,0.5421,0.01212,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9841.93,0.75903,0.44623,0.009,0.90551,0.80958,0.88461,0.67996,0.87123,0.54611,0.01209,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9990.14,0.74525,0.43804,0.00891,0.90781,0.8124,0.88394,0.68102,0.87184,0.54332,0.01211,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10138.6,0.75086,0.44494,0.00896,0.88403,0.83478,0.88437,0.67912,0.87285,0.54525,0.01214,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10287.4,0.73597,0.43307,0.00872,0.88813,0.83415,0.88592,0.6826,0.8653,0.5516,0.01201,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10435.2,0.7378,0.42629,0.00877,0.91492,0.8171,0.89004,0.68452,0.8615,0.54979,0.01196,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10583.4,0.72828,0.43043,0.00867,0.90681,0.8177,0.88853,0.68374,0.86025,0.5589,0.01193,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10731.3,0.72346,0.42478,0.00856,0.87401,0.84333,0.88755,0.68219,0.85974,0.5564,0.01192,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10879.7,0.7077,0.41431,0.00839,0.84825,0.87024,0.88643,0.68168,0.86144,0.55102,0.01195,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11028.3,0.71123,0.41684,0.00845,0.84714,0.87003,0.88519,0.68215,0.86295,0.55387,0.01194,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11176,0.70144,0.40377,0.00838,0.85645,0.8654,0.88598,0.6831,0.86368,0.55291,0.01198,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11324.2,0.70268,0.41453,0.00831,0.8941,0.81632,0.88535,0.68299,0.86532,0.55775,0.01199,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11472.5,0.69627,0.40199,0.00817,0.88823,0.82802,0.88747,0.68381,0.86599,0.55899,0.01205,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11620.4,0.69988,0.41541,0.00816,0.88927,0.8115,0.88523,0.68185,0.86555,0.56906,0.01204,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11768.9,0.6953,0.41418,0.00818,0.88748,0.82773,0.8858,0.68281,0.86738,0.56378,0.0121,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11917.4,0.6866,0.39839,0.00806,0.88966,0.82657,0.88718,0.68351,0.86576,0.56434,0.01208,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12065.7,0.68119,0.39431,0.008,0.89492,0.8288,0.88745,0.6834,0.86424,0.56476,0.01209,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12214.2,0.67866,0.38949,0.00792,0.88343,0.83378,0.88696,0.68246,0.86557,0.56576,0.01213,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12362.7,0.6691,0.3848,0.00785,0.89751,0.82297,0.88807,0.68297,0.86325,0.56848,0.01207,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12511.3,0.66379,0.37994,0.00776,0.88604,0.82681,0.88915,0.68281,0.8641,0.57096,0.01209,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12660,0.65893,0.37729,0.00767,0.88916,0.82402,0.88829,0.6817,0.8634,0.57545,0.01207,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12808.2,0.65203,0.37114,0.00764,0.89259,0.82675,0.88736,0.68159,0.86317,0.57201,0.01204,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12956.7,0.65529,0.37421,0.0077,0.89244,0.82006,0.88984,0.68507,0.86374,0.56933,0.01205,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13104.3,0.64779,0.37389,0.00753,0.89472,0.82371,0.88989,0.6845,0.86415,0.5664,0.01209,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13253.3,0.64555,0.36566,0.00753,0.89166,0.82172,0.88851,0.68457,0.86197,0.57032,0.01203,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13401.3,0.63621,0.35986,0.00742,0.87724,0.83496,0.8885,0.68457,0.86169,0.56735,0.01203,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13549.4,0.63265,0.35792,0.00746,0.87412,0.8358,0.8894,0.6858,0.86178,0.56652,0.01206,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13697.6,0.63626,0.36061,0.00738,0.87792,0.83767,0.89027,0.68833,0.86095,0.56284,0.01201,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13850.9,0.55742,0.24453,0.008,0.87538,0.84776,0.89113,0.68929,0.86326,0.56175,0.01207,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,14008.4,0.54109,0.23689,0.00764,0.87124,0.85353,0.89179,0.68993,0.86275,0.56265,0.01207,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,14162.1,0.53037,0.2245,0.00752,0.86797,0.8518,0.89137,0.69061,0.86376,0.5616,0.01208,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14308.5,0.5239,0.22577,0.00736,0.86923,0.85868,0.89061,0.68953,0.86455,0.56448,0.01208,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14455.2,0.51597,0.21946,0.00722,0.8691,0.85072,0.89025,0.68867,0.86615,0.56089,0.01208,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14601.7,0.50884,0.21519,0.00708,0.86814,0.85092,0.89124,0.69006,0.86561,0.56656,0.01203,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14748.3,0.50395,0.21223,0.00697,0.8727,0.85335,0.8913,0.6892,0.86454,0.56657,0.01203,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14895.5,0.49672,0.21043,0.00683,0.87257,0.85591,0.89183,0.68986,0.86421,0.56702,0.01203,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,15042.4,0.49279,0.20556,0.00675,0.87824,0.84859,0.89297,0.69148,0.86445,0.56869,0.01203,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,15188.8,0.48951,0.20234,0.0067,0.8758,0.85556,0.89357,0.69195,0.86477,0.56817,0.01208,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
